str_no_string|NO STRING!
str_npc2_home_recap|Ich wurde jenseits der Berge geboren. Ich bin ein Kaufmann, Sohn eines Kaufmanns, und der Enkel eines Kaufmanns.
str_npc3_home_recap|Ich lebte früher im Haus meines Vaters in {s20), aber ich verbrachte einen großen Teil meiner Kindheit in {s21}.
str_npc4_home_recap|Das Herrschaftsgebiet unserer Vorfahren ist jenseits der Berge, auf der anderen Seite des Culdarr-Passes.
str_npc5_home_recap|Ich wurde im Hochland auf der anderen Seite der Berge geboren, hinter Tulga, aber ich habe Verwandte in {s21}.
str_npc6_home_recap|Meine Familie lebt in {s21}, aber ich ertrage es nicht, sie zu sehen.
str_npc7_home_recap|Ich wurde in einer Hütte in den Marschen geboren, nicht weit von {s21}.
str_npc8_home_recap|Ich wurde in Übersee geboren, in Nordland, und auch die Halle meines Gatten befand sich dort.
str_npc9_home_recap|Ich bin aus dem Heimatland der Vaegiren jenseits der Berge, wo die Vaegir-Fürsten lebten, bevor der Kaiser sie nach Calradia brachte.
str_npc10_home_recap|Ich wurde in Jelkala geboren und wuchs auch dort auf, {Bruder/Schwester}, und ich hoffe, eines Tages dort ein Stück Land zu kaufen. Doch ich wollte zuerst etwas von der Welt sehen, also nahm ich meine Armbrust und zog in den Krieg.
str_npc11_home_recap|Ich wurde im Tross einer Armee geboren und verlebte alle meine Tage im Tross einer Armee. Meine Familie ist aber aus Praven, das ist also vermutlich meine Heimat.
str_npc12_home_recap|Ich komme aus Übersee. Ich bereise die Welt auf der Suche nach medizinischem Wissen.
str_npc13_home_recap|Oh, weit weg von hier, {Fürst/Fürstin}, ansonsten hättet Ihr schon von mir gehört und bräuchtet nicht zu fragen.
str_npc14_home_recap|Ich bin der jüngere Sohn des Grafen von Geroia.
str_npc15_home_recap|Ich komme von jenseits der Hügel. Aber in Calradia ist heutzutage der Ort, wo das Geld sitzt, wenn Euer Handwerk die Belagerungstechnik ist.
str_npc16_home_recap|Nun, Hauptmann, ich wurde im Dorf Uslum geboren, aber meine Mutter verlor ihr Land an einen hinterlistigen Verwandten und musste sich in die Schuldknechtschaft eines Fürsten in der Nähe begeben.
str_npc1_honorific|Herr
str_npc2_honorific|{mein Herr/meine Dame}
str_npc3_honorific|{mein Herr/meine Dame}
str_npc4_honorific|{mein Herr/meine Dame}
str_npc5_honorific|{playername} Bahadur
str_npc6_honorific|Hauptmann
str_npc7_honorific|Hauptmann
str_npc8_honorific|{playername}
str_npc9_honorific|{mein guter Herr/meine gute Dame}
str_npc10_honorific|{Bruder/Schwester}
str_npc11_honorific|{Junge/Mädel} -- ich meine Hauptmann
str_npc12_honorific|Hauptmann
str_npc13_honorific|oh Tapferer
str_npc14_honorific|Kommandant
str_npc15_honorific|Hauptmann
str_npc16_honorific|Hauptmann
str_comment_intro_liege_affiliated|Man sagt, Ihr habt einem der Heuchler, die meinen Anspruch auf die Krone Calradias anfechten, Treue geschworen. Aber wir können uns trotzdem unterhalten.
str_comment_intro_famous_liege|Man sagt, Ihr habt einem der Heuchler, die meinen Anspruch auf die Krone Calradias anfechten, Treue geschworen. Aber wir können uns trotzdem unterhalten.
str_comment_intro_famous_martial|Euer Ruhm eilt Euch voraus! Vielleicht sollten wir unsere Tapferkeit in einem Turnier oder auf dem Schlachtfeld testen!
str_comment_intro_famous_badtempered|Ich habe von Euch gehört. Nun, ich bin kein großer Maulfechter, wenn Ihr also etwas zu sagen habt, so sagt es jetzt.
str_comment_intro_famous_pitiless|Ich kenne Euren Namen. Er bringt Furcht in die Herzen vieler Männer. Das ist gut. Vielleicht sollten wir uns einmal unterhalten.
str_comment_intro_famous_cunning|Ah, ja. Endlich treffen wir uns. Ich glaube, Ihr seid ein guter Mensch. Lasst uns gelegentlich ein Schwätzchen halten.
str_comment_intro_famous_sadistic|Ich kenne Euren Namen -- und von dem, was ich so höre, kennt ihn auch so manche trauernde Witwe. Aber das ist nicht meine Angelegenheit.
str_comment_intro_famous_goodnatured|Ich habe von Euch gehört! Es ist sehr gut, Euch endlich kennen zu lernen.
str_comment_intro_famous_upstanding|Ich kenne Euren Namen. Man sagt, Ihr seid ein höchst mutiger Krieger. Ich kann nur hoffen, dass Eure Ehre und Barmherzigkeit Eurer Tapferkeit ebenbürtig sind.
str_comment_intro_noble_liege|Ich sehe, dass Ihr das Banner eines Adligen tragt, doch ich kenne die Farben nicht. Wisset, dass ich immer nach guten Männern Ausschau halte, die für mich kämpfen, sobald sie sich meines Vertrauens würdig erwiesen haben.
str_comment_intro_noble_martial|Ich sehe, dass Ihr das Banner eines Adligen tragt, doch ich kenne die Farben nicht. Vielleicht sollten wir einmal unsere Tapferkeit in einem Turnier oder auf dem Schlachtfeld testen!
str_comment_intro_noble_badtempered|Ich kenne die Farben auf Eurem Banner nicht. Zweifelsohne wieder ein Fremder, der in unser Land kommt, als wenn wir nicht schon davon genug hier hätten.
str_comment_intro_noble_pitiless|Ich sehe, dass Ihr das Banner eines Adligen tragt, doch ich kenne die Farben nicht. Gewiss noch so ein Aasgeier, der sich an den Überresten des Krieges fett fressen will!
str_comment_intro_noble_cunning|Ich sehe, dass Ihr das Banner eines Adligen tragt, doch ich kenne die Farben nicht. Trotzdem ist es immer gut, die Bekanntschaft von {Männern/Frauen} zu machen, die sich eines Tages als große Krieger erweisen könnten.
str_comment_intro_noble_sadistic|Ich sehe, dass Ihr das Banner eines Adligen tragt, doch ich kenne die Farben nicht. Vielleicht seid Ihr der Bastard eines aufgeblasenen Viehdiebs? Oder vielleicht habt ihr es gestohlen?
str_comment_intro_noble_goodnatured|Ich sehe, dass Ihr das Banner eines Adligen tragt, doch ich kenne die Farben nicht. Vergebt mein Unwissen, {mein Herr/meine Dame}! Sehr erfreut, Eure Bekanntschaft zu machen.
str_comment_intro_noble_upstanding|Ich sehe, dass Ihr das Banner eines Adligen tragt, doch ich kenne die Farben nicht. Sicherlich seid Ihr auf der Suche nach Reichtum und Ruhm nach Calradia gekommen. Wenn dies fürwahr der Fall ist, dann bitte ich Euch nur, den armen Seelen, die in den Wirren des Krieges gefangen sind, Barmherzigkeit angedeihen zu lassen.
str_comment_intro_common_liege|Ihr mögt von gewöhnlicher Geburt sein, doch wisset, dass ich immer nach guten Männern Ausschau halte, die für mich kämpfen, sobald sie sich meines Vertrauens würdig erwiesen haben.
str_comment_intro_common_martial|Ihr mögt nicht von adliger Geburt sein, doch wenn Ihr Eure Tapferkeit unter Beweis stellt, wäre ich hoch erfreut, im Turnier oder auf dem Schlachtfeld meine Stärke mit der Euren zu vergleichen .
str_comment_intro_common_badtempered|So sprecht schon, wenn Ihr etwas zu sagen habt, denn ich habe keine Zeit für eitles Geschwätz mit gewöhnlichen Glücksrittern.
str_comment_intro_common_pitiless|Ihr habt das Aussehen eines Landsknechts, eines der Aasgeier, die gekommen sind, sich am Elend dieses Landes fett zu fressen.
str_comment_intro_common_cunning|Nun ... ich habe nicht von Euch gehört, aber Ihr seht aus wie jemand, der eines Tages etwas aus sich machen könnte.
str_comment_intro_common_sadistic|Normalerweise schneide ich frechen Gemeinen wie Euch, die sich uneingeladen in meine Gegenwart begeben, den Hals durch, aber heute habe ich gute Laune.
str_comment_intro_common_goodnatured|Nun, Ihr sehr ganz anständig aus.
str_comment_intro_common_upstanding|Friede sei mit Euch, und denkt immer daran, Eure Tapferkeit mit Gnade, und Euren Mut mit Ehre zu zügeln.
str_comment_you_raided_my_village_enemy_benevolent|Ihr habt unschuldige, unter meinem Schutz stehende Bauern im Dorf {s51} angegriffen. Ich werde Euch für Eure Missetaten strafen!
str_comment_you_raided_my_village_enemy_spiteful|Ihr habt mein Dorf {s51} überfallen, meinen Besitz zerstört und die Bewohner getötet. Ich werde Euch in Blut zahlen lassen!
str_comment_you_raided_my_village_enemy_coldblooded|Ihr habt mein Dorf {s51} überfallen, meinen Besitz zerstört und die Bewohner getötet. Ihr werdet es Euch zweimal überlegen, bevor Ihr meine Einkünfte wieder derart zum Erliegen bringt.
str_comment_you_raided_my_village_enemy|Ihr habt mein Dorf {s51} überfallen, meinen Besitz zerstört und die unter meinem Schutz stehenden Bewohner getötet. Ihr werdet den Preis für Euer Verbrechen zahlen!
str_comment_you_raided_my_village_unfriendly_spiteful|Ihr habt mein Dorf {s51} überfallen. Macht das noch einmal, und ich werde Euch das Fell abziehen.
str_comment_you_raided_my_village_friendly|Ihr habt mein Dorf {s51} überfallen. Dies wird unsere Freundschaft gar düster überschatten.
str_comment_you_raided_my_village_default|Ihr habt mein Dorf {s51} überfallen. Wenn Ihr so weitermacht, könnte es bald zum Kampf zwischen uns kommen.
str_comment_you_robbed_my_village_enemy_coldblooded|Ihr habt die Leute in meinem Dorf {s51} ausgeraubt. Ich sehe das als persönliche Beleidigung an.
str_comment_you_robbed_my_village_enemy|Ihr habt unschuldige, unter meinem Schutz stehende Bauern im Dorf {s51} ausgeraubt. Ich werde Euch für Eure Missetaten strafen!
str_comment_you_robbed_my_village_friendly_spiteful|Ich höre, Ihr habt meinen Pächtern bei {s51} Nahrung gestohlen. Nun, ich trage Euch eine Prügelei oder zwei nicht nach, aber denkt daran, dass ich es bin, der sich hinterher ihr Gejammer anhören muss.
str_comment_you_robbed_my_village_friendly|Ich höre, Ihr habt meinen Pächtern bei {s51} Vorräte abgenommen. Ich bin sicher, Ihr hättet das nicht getan, wenn Ihr sie nicht dringend gebraucht hättet.
str_comment_you_robbed_my_village_default|Ihr habt die Leute in meinem Dorf {s51} ausgeraubt. Wenn Ihr so weitermacht, könnte es bald zum Kampf zwischen uns kommen.
str_comment_you_accosted_my_caravan_enemy|Ihr habt unter meinem Schutz stehende Karawanen angegriffen. Aber mit Eurem Banditentum wird es bald zu Ende sein.
str_comment_you_accosted_my_caravan_default|Ihr habt unter meinem Schutz stehende Karawanen angegriffen. Dieses Benehmen muss ein Ende haben.
str_comment_you_helped_villagers_benevolent|Ich höre, Ihr habt meinen Pächtern im Dorf {s51} Almosen gegeben. Ich habe meine Pflicht als Fürst und Beschützer vernachlässigt und weiß Eure Tat sehr zu schätzen.
str_comment_you_helped_villagers_friendly_cruel|Ich höre, Ihr habt meinen Pächtern im Dorf {s51} Almosen gegeben. Ich schätze es wohl, dass Ihr es gut meintet, aber Ihr solltet meine Obrigkeit eher nicht auf diese Weise untergraben.
str_comment_you_helped_villagers_friendly|Ich höre, Ihr habt meinen Pächtern im Dorf {s51} Almosen gegeben. Es sind harte Zeiten, und ich weiß, dass Ihr es gut meint, ich werde also keinen Widerspruch dagegen einlegen, dass Ihr ihnen zu Hilfe gekommen seid.
str_comment_you_helped_villagers_unfriendly_spiteful|Ich höre, Ihr habt meinen Pächtern im Dorf {s51} Almosen gegeben. So amüsant es auch mit anzusehen ist, wie Ihr bei meinen Vasallen um Anerkennung heischt, würde ich Euch doch bitten, Eure Nase aus meinen Angelegenheiten zu halten.
str_comment_you_helped_villagers_cruel|Ich höre, Ihr habt meinen Pächtern im Dorf {s51} Almosen gegeben. Als Fürst und Beschützer der Bauern ist es meine oberste Pflicht, ihnen in Zeiten der Not zu Hilfe zu kommen. Ihr mögt es gut meinen, aber Eure Handlungen untergraben immer noch meine Obrigkeit. Ich wäre Euch dankbar, wenn Ihr sie in Ruhe ließet.
str_comment_you_helped_villagers_default|Ich höre, Ihr habt meinen Pächtern im Dorf {s51} Almosen gegeben. Die Zeiten sind hart, und ich weiß, dass Ihr es gut meint, aber macht es Euch nicht zur Gewohnheit. Ich bin ihr Fürst und Beschützer, und ich möchte nicht, dass sie sich an Fremde um Hilfe wenden.
str_comment_you_captured_a_castle_allied_friendly|Ich höre, Ihr habt {s51} belagert und eingenommen. Das war eine große Tat, und ich bin stolz, Euch meinen Freund nennen zu dürfen!
str_comment_you_captured_a_castle_allied_spiteful|Ich höre, Ihr habt {s51} belagert und eingenommen. Gute Arbeit! Bald schon werden wir all ihre Festungen schleifen, ihre Schätze plündern und ihre trauernden Witwen uns Wein servieren lassen.
str_comment_you_captured_a_castle_allied_unfriendly_spiteful|Ich höre, Ihr habt {s51} belagert und eingenommen. Nun, auch ein blindes Huhn findet mal ein Korn. Genießt es, solange Ihr könnt, bevor man Euch wieder in die Kälte hinaustritt, wohin ihr gehört.
str_comment_you_captured_a_castle_allied_unfriendly|Ich höre, Ihr habt {s51} belagert und eingenommen. Ungeachtet unserer Differenzen in der Vergangenheit muss ich Euch doch gratulieren.
str_comment_you_captured_a_castle_allied|Ich höre, Ihr habt {s51} belagert und eingenommen. Wir haben sie in die Flucht geschlagen!
str_comment_you_captured_my_castle_enemy_spiteful|Ich höre, Ihr seid in mein Heim bei {s51} eingebrochen. Ich hoffe, das Verlies ist Euch genehm, denn Ihr werdet in den kommenden Jahren viel Zeit darin verbringen.
str_comment_you_captured_my_castle_enemy_chivalrous|Ihr haltet {s51}, mein Lehnsherr. Ich hoffe, Ihr werdet mir die Gelegenheit geben, es zurück zu gewinnen!
str_comment_you_captured_my_castle_enemy|Ihr habt etwas, das mir gehört -- {s51}. Ich werde Euch zwingen, es aufzugeben.
str_comment_we_defeated_a_lord_unfriendly_spiteful|Ich nehme an, Ihr wollt auf unseren Sieg über {s54} trinken. Nun, spart Euch Euren Wein -- es wird mehr als das brauchen, um die Schandflecken Eurer früheren Untaten auszumerzen.
str_comment_we_defeated_a_lord_unfriendly|Ich werde nicht vergessen, wie wir zusammen gegen {s54} kämpften, aber ich kann auch nicht die andere Angelegenheiten zwischen uns vergessen.
str_comment_we_defeated_a_lord_cruel|Das war ein großer Sieg über {s54}, nicht wahr? Wir machten aus seiner Armee ein Festmahl für die Krähen!
str_comment_we_defeated_a_lord_quarrelsome|Ich werde nicht vergessen, wie wir {s54} Mores lehrten! Das war ein Spaß.
str_comment_we_defeated_a_lord_upstanding|Ich werde unseren Sieg über {s54} nicht vergessen. Lasst uns erneut dem Himmel danken, und beten, dass wir nicht zu stolz werden.
str_comment_we_defeated_a_lord_default|Das war ein großer Sieg über {s54}, nicht wahr? Es war mir eine Ehre, an Eurer Seite gekämpft zu haben.
str_comment_we_fought_in_siege_unfriendly_spiteful|Ich nehme an, Ihr wollt auf unsere Einnahme von {s51} trinken. Nun, spart Euch Euren Wein -- es wird mehr als das brauchen, um die Schandflecken Eurer früheren Untaten auszumerzen.
str_comment_we_fought_in_siege_unfriendly|Ich werde nicht vergessen, wie wir zusammen {s51} stürmten, aber ich kann auch die anderen Angelegenheiten nicht vergessen, die zwischen uns liegen.
str_comment_we_fought_in_siege_cruel|Ich werde nicht vergessen, wie wir durch die Mauern von {s51} brachen und die Verteidiger niedermachten. Es ist eine süße Erinnerung.
str_comment_we_fought_in_siege_quarrelsome|Wisst Ihr noch, wie der Feind heulte, als wir über die Mauern von {s51} kamen? Sie hatten sich in Sicherheit gewiegt! Wir haben ihnen das Grinsen vom Gesicht gewischt!
str_comment_we_fought_in_siege_upstanding|Ich werde nicht unsere Einnahme von {s51} vergessen. Lasst uns erneut dem Himmel danken, und beten, dass wir nicht zu stolz werden.
str_comment_we_fought_in_siege_default|Ich werde nicht vergessen, wie wir zusammen {s51} einnahmen. Es war mir eine Ehre, an Eurer Seite gekämpft zu haben.
str_comment_we_fought_in_major_battle_unfriendly_spiteful|Ich nehme an, Ihr wollt auf unseren großen Sieg bei {s51} trinken. Nun, spart Euch Euren Wein -- es wird mehr als das brauchen, um die Schandflecken Eurer früheren Untaten auszumerzen.
str_comment_we_fought_in_major_battle_unfriendly|Ich werde nicht vergessen, wie wir zusammen in der großen Schlacht bei Gefecht {s51} fochten, aber ich kann auch die anderen Angelegenheiten nicht vergessen, die zwischen uns liegen.
str_comment_we_fought_in_major_battle_cruel|Ich werde die große Schlacht bei {s51} nicht vergessen, als wir durch die feindlichen Linien brachen und sie schreiend vor uns wegrannten. Es ist eine süße Erinnerung.
